opis_okres,wartosc
2023 M01,102.5
2023 M02,103.8
2023 M03,104.9
2023 M04,105.7
2023 M05,105.7
2023 M06,105.7
2023 M07,105.5
2023 M08,105.5
2023 M09,105.1
2023 M10,105.3
2023 M11,106.1
2023 M12,106.2
2022 M01,101.9
2022 M02,101.6
2022 M03,104.9
2022 M04,107.0
2022 M05,108.8
2022 M06,110.4
2022 M07,110.9
2022 M08,111.8
2022 M09,113.6
2022 M10,115.6
2022 M11,116.4
2022 M12,116.6
2021 M01,101.3
2021 M02,101.8
2021 M03,102.8
2021 M04,103.6
2021 M05,103.9
2021 M06,104.0
2021 M07,104.5
2021 M08,104.8
2021 M09,105.5
2021 M10,106.6
2021 M11,107.6
2021 M12,108.6
2020 M01,100.9
2020 M02,101.6
2020 M03,101.8
2020 M04,101.7
2020 M05,101.5
2020 M06,102.1
2020 M07,101.9
2020 M08,101.8
2020 M09,102.0
2020 M10,102.2
2020 M11,102.2
2020 M12,102.4
